-3.359	-0.052	-0.013	-0.008	-0.002	0.002	-0.027	0.867
-0.627	-0.054	-0.012	-0.012	-0.001	0.003	-0.031	0.867
-1.023	-0.053	-0.012	-0.012	-0.003	0.004	-0.032	0.867
4.513	-0.057	-0.012	-0.008	-0.000	0.002	-0.031	0.867
-4.864	-0.059	-0.009	-0.007	-0.002	0.004	-0.029	0.866
2.945	-0.055	-0.013	-0.008	0.000	0.003	-0.031	0.867
5.291	-0.054	-0.012	-0.011	-0.003	0.005	-0.029	0.874
4.573	-0.052	-0.012	-0.014	-0.003	0.006	-0.031	0.867
0.051	-0.058	-0.012	-0.014	0.000	0.005	-0.027	0.867
4.515	-0.067	-0.012	-0.012	-0.000	0.007	-0.031	0.856
2.388	-0.084	-0.010	-0.015	-0.001	0.003	-0.030	0.852
-3.070	-0.094	-0.010	-0.018	-0.002	0.005	-0.032	0.870
-4.735	-0.102	-0.012	-0.017	-0.001	0.007	-0.035	0.867
-0.301	-0.110	-0.011	-0.018	-0.001	0.005	-0.033	0.867
-4.153	-0.113	-0.009	-0.013	-0.002	0.007	-0.038	0.868
-3.320	-0.101	0.007	-0.006	-0.001	0.005	-0.038	0.861
2.560	-0.087	-0.009	0.001	-0.002	0.002	-0.038	0.867
0.137	-0.067	0.008	-0.001	-0.002	0.002	-0.035	0.867
-2.649	-0.051	-0.011	0.002	0.001	0.004	-0.033	0.867
-4.301	-0.049	-0.009	-0.001	-0.000	-0.002	-0.035	0.866
3.345	-0.048	-0.010	-0.004	-0.001	0.001	-0.034	0.868
-5.134	-0.047	-0.011	-0.007	-0.001	0.002	-0.028	0.869
3.509	-0.046	-0.012	-0.008	0.002	0.001	-0.023	0.868
5.637	-0.040	-0.012	-0.012	-0.002	-0.002	-0.024	0.866
4.895	-0.036	-0.014	-0.014	-0.002	0.003	-0.019	0.866
-0.943	-0.041	-0.014	-0.018	-0.004	0.003	-0.022	0.867
1.668	-0.048	-0.014	-0.021	-0.005	0.005	-0.019	0.866
2.726	-0.063	-0.014	-0.021	-0.004	0.007	-0.022	0.866
-1.826	-0.073	-0.014	-0.024	-0.002	0.011	-0.023	0.868
-3.542	-0.086	-0.013	-0.017	-0.003	0.012	-0.024	0.864
1.737	-0.089	-0.012	-0.016	-0.003	0.012	-0.032	0.870
