-4.651	-0.000	-0.002	0.009	-0.002	0.007	0.034	4.070
0.047	-0.005	-0.003	0.005	0.005	0.010	0.033	4.075
-0.359	-0.007	-0.001	0.005	-0.009	0.013	0.025	4.071
6.220	-0.006	-0.001	0.010	0.001	0.006	0.030	4.071
-5.674	0.010	-0.000	0.008	0.002	0.006	0.029	4.071
-4.371	-0.007	0.001	0.008	-0.001	0.009	0.028	4.071
-1.562	-0.001	-0.001	0.004	0.002	0.007	0.037	4.070
4.661	0.000	-0.005	0.002	-0.001	0.005	0.029	4.073
4.166	-0.004	-0.002	-0.000	0.001	0.011	0.030	4.071
-1.924	-0.007	-0.003	0.006	0.003	0.013	0.029	4.070
0.439	-0.014	-0.002	0.006	-0.000	0.008	0.032	4.071
-4.091	-0.012	0.019	0.004	-0.000	0.006	0.031	4.071
-4.571	-0.010	0.004	0.002	0.000	0.009	0.029	4.072
4.295	-0.001	0.004	0.004	0.025	0.006	0.032	4.072
1.960	-0.012	-0.002	0.004	0.000	0.013	0.027	4.072
3.021	-0.013	-0.003	0.008	0.001	0.010	0.023	4.072
-6.096	-0.008	0.001	0.009	0.010	0.006	0.030	4.071
3.500	-0.013	-0.001	0.007	-0.008	0.016	0.029	4.077
0.225	-0.001	-0.003	0.005	0.004	0.007	0.028	4.071
2.775	-0.004	-0.002	0.014	-0.000	0.003	0.025	4.072
-6.745	0.000	-0.002	0.005	0.001	0.005	0.029	4.070
3.979	-0.013	0.003	0.008	0.000	0.000	0.030	4.071
1.161	-0.015	-0.001	0.002	0.005	0.008	0.030	4.073
-1.564	-0.016	0.002	0.004	-0.001	0.006	0.023	4.070
6.720	-0.009	-0.003	0.008	-0.000	0.008	0.034	4.071
-4.647	-0.015	0.001	0.005	0.001	0.002	0.027	4.070
2.609	-0.020	-0.001	0.001	0.000	0.008	0.025	4.069
-1.849	-0.020	0.019	0.003	-0.002	0.007	0.025	4.072
0.023	-0.020	0.002	0.003	-0.002	0.007	0.025	4.070
1.938	-0.020	-0.001	0.013	-0.000	0.006	0.025	4.070
3.207	-0.023	-0.000	0.008	0.033	0.006	0.027	4.070
4.056	-0.012	-0.004	0.007	-0.000	0.008	0.028	4.070
0.324	-0.008	-0.001	0.006	0.002	0.008	0.030	4.076
-0.217	-0.013	0.016	0.003	0.002	0.012	0.026	4.070
-3.630	-0.014	0.002	0.002	0.001	0.002	0.023	4.075
6.829	-0.022	-0.001	0.002	0.001	0.001	0.031	4.076
6.898	-0.014	-0.001	0.002	0.013	0.001	0.032	4.070
0.050	-0.027	-0.003	0.006	-0.001	0.005	0.027	4.070
-0.011	-0.030	-0.001	0.002	0.002	0.010	0.030	4.070
-4.431	-0.030	-0.005	0.004	0.000	0.003	0.028	4.070
2.136	-0.035	-0.002	-0.002	0.006	0.013	0.022	4.068
3.974	-0.042	-0.002	0.002	0.001	0.002	0.023	4.069
-4.061	-0.047	0.000	0.002	0.003	0.009	0.021	4.080
0.671	-0.048	0.000	0.008	0.002	0.001	0.020	4.070
3.631	-0.045	0.000	0.008	0.000	0.004	0.023	4.073
0.751	-0.049	0.003	0.011	0.000	0.004	0.018	4.076
-2.918	-0.036	0.005	0.009	0.001	0.002	0.023	4.071
1.129	-0.028	-0.001	0.006	0.004	0.005	0.029	4.070
2.233	-0.022	0.000	0.012	0.001	0.003	0.030	4.071
